name,institute,profile_picture_url,author_page_url
Indraneel Kasmalkar,Nanyang Technological University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Closeup-Indraneel-Kasmalkar-uai-694x868.webp,https://urfieldlab.com/UR2024/author/indraneel.kasmalkar
Giuseppe Molinario,World Bank,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/img_5503-e1719374022361-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/giuseppe-molinario
Namgay Dechen,Paro Forest Division (Department of Forest and Park Services),https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/WhatsApp-Image-2024-04-02-at-8.10.24-PM-Namgay-dechen-uai-651x813.webp,https://urfieldlab.com/UR2024/author/namgay.dechen
"Junu Maharjan",Nepal Open University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Junu-junu-mjn-uai-694x868.webp,https://urfieldlab.com/UR2024/author/junu.maharjan
Sangita Thebe Limbu,University College London,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Sangita-Thebe-Limbu_profile-photo-Sangs-uai-694x868.webp,https://urfieldlab.com/UR2024/author/sangita.thebe.limbu
Dharmendra Budthapa,Institute of Forestry (IOF)/ DNPWC Nepal,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/pp-size-Dharmendra-Budthapa-uai-694x868.webp,https://urfieldlab.com/UR2024/author/dharmendra.budthapa
Shamsun Nahar,STEM for Super Girls,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/ShamsunNahar-Shamsun-Nahar-uai-488x610.webp,https://urfieldlab.com/UR2024/author/shamsun.nahar
Shristi Singh Shrestha (Bhandari),The Jane Goodall Institute Nepal,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/FB_IMG_1624542013774-shristi-shrestha-uai-576x720.jpg,https://urfieldlab.com/UR2024/author/shristi.singh.shrestha.bhandari
"Pooja Upadhyay",Indian Institute of Technology Roorkee (IIT Roorkee),https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/WhatsApp-Image-2024-03-26-at-14.58.46-POOJA-UPADHYAY-uai-572x716.jpg,https://urfieldlab.com/UR2024/author/pooja.upadhyay
Tulasi Ram Bhattarai,MoFAGA Nepal/ Ehime University Japan (PhD Student,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Photo_Tulasi-tulasi-ram-bhattarai-uai-336x421.png,https://urfieldlab.com/UR2024/author/tulasi.ram.bhattarai
Sherene Tan,Earth Observatory of Singapore/ NUS Lee Kuan Yew School of Public Policy,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Sherene-Tan-headshot-Sherene-Tan-uai-579x723.webp,https://urfieldlab.com/UR2024/author/sherene.tan
Tehzeeb Bano,University of Guelph,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/pic-tehzeeb-bano-uai-656x820.webp,https://urfieldlab.com/UR2024/author/tehzeeb.bano
"Mohan Mainali",Freelance journalist,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/FB_IMG_1711422559502-by-Diwas-Gurung-Mohan-Mainali-uai-473x591.jpg,https://urfieldlab.com/UR2024/author/mohan.prasad.mainali
Shardul Tiwari,University of Toronto,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Shardul-Shardul-Tiwari-uai-694x868.webp,https://urfieldlab.com/UR2024/author/shardul.tiwari
"Botao Zhao",Yale University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Botao-Zhao-Botao-Zhao-uai-511x639.webp,https://urfieldlab.com/UR2024/author/botao.zhao
Samira Patel,"Scott Polar Research Institute, University of Cambridge",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Photo-Samira-Patel-uai-268x336.jpg,https://urfieldlab.com/UR2024/author/samira.patel
Shreyasha Paudel,University of Toronto,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_9083-Shreyasha-Paudel-uai-694x868.webp,https://urfieldlab.com/UR2024/author/shreyasha.paudel
"Apil K C",University of Michigan,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/DSC01510-APIL-K-C-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/apil.k.c
"Sonam Lama Hyolmo",Mongabay,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Head-shot-Sonam-Lama-uai-651x813.webp,https://urfieldlab.com/UR2024/author/sonam.lama.hyolmo
Shangrila Joshi,The Evergreen State College,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/2022-Joshi-Shangrila-2.jpg-Shangrila-Joshi-uai-400x500.jpg,https://urfieldlab.com/UR2024/author/shangrila.joshi
